GPSLatitude,GPSLongitude,GPSDateTime,File,V1,V2,V3,V4,V5,V6
34.6935519722222,135.502334972222,2018:09:10 01:37:53Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF5_20180910_103756.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF5,2018/09/10 12:14:26,台風21号情報収集用,FW: test4, From: 大阪市ＩＣＴ戦略室活用推進担当（活用推進グループ）Sent: Monday September 10 2018 3:14:20 AM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: test4 ,20180910_103756.jpg
34.6932833333333,135.502213888889,2018:09:10 04:18:20Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF7_image1.jpeg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF7,2018/09/10 14:27:56,台風21号情報収集用,FW: , From: zubizuba-19nick@yahoo.ne.jpSent: Monday September 10 2018 5:27:21 AM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject:  iPhoneから送信,image1.jpeg
33.5826634722222,130.422894583333,2018:09:04 12:53:24Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF9_IMG00505.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EF9,2018/09/10 14:40:10,台風21号情報収集用,FW: てすと,From: sound-of-hibana@docomo.ne.jpSent: Monday September 10 2018 5:39:10 AM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: てすとてすとドコモ,IMG00505.jpg
34.7019472222222,135.4924,不明,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EFF_IMG-0227.JPG,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6EFF,2018/09/10 19:44:32,台風21号情報収集用,FW: [FreeMail]グランフロント, From: Tadakazu NakamichiSent: Monday September 10 2018 10:43:32 AM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]グランフロント,IMG-0227.JPG
34.6926111111111,135.500991666667,不明,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F00_IMG-0236.JPG,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F00,2018/09/10 23:29:58,台風21号情報収集用,FW: [FreeMail]淀屋橋, From: Tadakazu NakamichiSent: Monday September 10 2018 2:29:10 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]淀屋橋,IMG-0236.JPG
34.5992972222222,135.626388888889,2018:09:10 14:27:59Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F01_IMG_0241.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F01,2018/09/10 23:31:31,台風21号情報収集用,FW: [FreeMail]法善寺, From: tadakazu1972@gmail.comSent: Monday September 10 2018 2:30:05 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]法善寺 iPhoneから送信,IMG_0241.jpg
34.5666666666667,135.635680555556,2018:09:10 14:31:37Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F02_IMG_0242.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008B8D6F02,2018/09/10 23:33:58,台風21号情報収集用,FW: [FreeMail]河内国分, From: tadakazu1972@gmail.comSent: Monday September 10 2018 2:33:18 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]河内国分 iPhoneから送信,IMG_0242.jpg
34.5616333333333,135.701936111111,2018:09:10 22:16:11Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792C_IMG_0243.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792C,2018/09/11 7:17:30,台風21号情報収集用,FW: [FreeMail]志都美, From: tadakazu1972@gmail.comSent: Monday September 10 2018 10:16:55 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]志都美 iPhoneから送信,IMG_0243.jpg
34.5974833333333,135.703277777778,2018:09:10 22:29:56Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792D_IMG_0244.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792D,2018/09/11 7:32:09,台風21号情報収集用,FW: [FreeMail]王寺, From: tadakazu1972@gmail.comSent: Monday September 10 2018 10:30:29 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]王寺 iPhoneから送信,IMG_0244.jpg
34.6214333333333,135.5867,2018:09:10 22:44:45Z,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792E_IMG_0245.jpg,EF000000DDC129CAE7A1014FB12CAB6820F4FFD2060001000000020000008B8D6B03020000008C76792E,2018/09/11 7:47:31,台風21号情報収集用,FW: [FreeMail]久宝寺駅, From: tadakazu1972@gmail.comSent: Monday September 10 2018 10:46:35 PM (UTC+00:00) Monrovia ReykjavikTo: 台風21号情報収集用Subject: [FreeMail]久宝寺駅 iPhoneから送信,IMG_0245.jpg
